Staedtler,Ticonderoga,USA Titanium
10.6,9.9,7.6
7.9,10.7,6.3
12.5,9.9,10.5
10.6,6.8,6.1
13,8.7,8.1
12.4,9.6,10.5
9.3,6.2,7.8
9.9,6.7,8.9
9.6,11.9,14.9
8.5,8.6,12.4
10.2,6.5,8.1
11.1,7.8,8.3
8.3,7.8,9.8
9.6,7.1,8.9
12.3,7.4,8.1
10.6,10.2,8.4
9.1,8.6,8.6
12.3,8.5,8.8
11,6.4,12.3
11.2,10.3,13
9.1,9.3,11.4
10.1,9.7,7.7
11.6,8,8.3
8.3,7.3,6.7
